link,weight,sleeping capacity,price
https://www.rei.com/product/882201/caddis-rapid-shelter-8-x-8,46.3,None,179.95
https://www.rei.com/product/136060/rei-co-op-base-camp-6-footprint,9999,None,59.95
https://www.rei.com/product/147300/msr-zoic-2-tent,4.8125,2-person,349.95
https://www.rei.com/product/123572/neso-tents-neso-1-sunshade-print,4.0625,None,99.95
https://www.rei.com/product/832336/sol-escape-bivy,9999,None,60
https://www.rei.com/product/117563/marmot-thor-3p-footprint,9999,None,85
https://www.rei.com/product/684087/outdoor-research-bug-bivy,9999,1-person,89
https://www.rei.com/product/147178/big-agnes-titan-6-footprint,9999,None,70
https://www.rei.com/product/114927/sol-escape-pro-bivy,9999,None,125
https://www.rei.com/product/150058/big-agnes-seedhouse-sl1-footprint,9999,None,50
https://www.rei.com/product/150053/big-agnes-copper-spur-3-platinum-footprint,9999,None,80
https://www.rei.com/product/147292/msr-thru-hiker-70-wing-shelter,1.0,3-person,169.95
https://www.rei.com/product/113525/big-agnes-copper-spur-hotel-hv-ul3-tent,4.5625,3-person,599.95
https://www.rei.com/product/147293/msr-carbon-reflex-1-tent,1.8125,1-person,449.95
https://www.rei.com/product/113265/the-north-face-wawona-4-footprint,9999,None,60
https://www.rei.com/product/147303/msr-zoic-3-tent,5.875,3-person,399.95
https://www.rei.com/product/112512/kelty-gunnison-4-tent-with-footprint,9.375,4-person,279.95
https://www.rei.com/product/114250/tentsile-stingray-tree-tent,19.0,3-person,650
https://www.rei.com/product/829838/msr-mini-ground-hog-stake,9999,None,2.5
